id,x,y,yaw
87,-164.728,119.408,2.43802
88,-166.04,120.541,2.43319
89,-167.32,121.649,2.43553
90,-168.889,123.057,2.43419
91,-170.2,124.171,2.43497
92,-171.726,125.544,2.43514
93,-173.414,126.947,2.43415
94,-174.329,127.881,2.43752
95,-176.143,129.552,2.43903
96,-177.832,131.035,2.43781
97,-179.147,132.255,2.43497
98,-180.531,133.477,2.43678
99,-181.914,134.713,2.43548
100,-183.152,135.839,2.43529
101,-184.638,137.237,2.43611
102,-186.347,138.731,2.4364
103,-187.575,139.766,2.43804
104,-188.971,141.006,2.43659
105,-190.352,142.221,2.43789
106,-191.633,143.31,2.43711
107,-193.12,144.65,2.43848
108,-194.654,145.952,2.43883
109,-195.955,147.143,2.43826
110,-197.37,148.321,2.43525
111,-198.957,149.601,2.43062
112,-199.892,150.488,2.42973
113,-200.96,151.378,2.42989
114,-202.229,152.56,2.42731
115,-203.514,153.773,2.42394
116,-204.483,154.598,2.42205
117,-205.388,155.419,2.42049
118,-206.306,156.314,2.42146
119,-207.367,157.185,2.42234
120,-208.316,157.923,2.42505
121,-208.947,158.57,2.42241
122,-209.897,159.408,2.42166
123,-210.777,160.195,2.42159
124,-211.407,160.814,2.42406
125,-212.222,161.42,2.42487
126,-212.738,161.941,2.42384
127,-213.419,162.536,2.4222
128,-213.92,163.077,2.42495
129,-214.644,163.682,2.42546
130,-215.241,164.359,2.42948
131,-215.826,164.907,2.4288
132,-216.301,165.539,2.43114
133,-216.815,166.041,2.43381
134,-217.417,166.389,2.4355
135,-217.906,166.934,2.43878
136,-218.68,167.493,2.44069
137,-219.565,167.978,2.43814
138,-220.185,168.482,2.4379
139,-220.706,169.005,2.43789
140,-221.487,169.685,2.43618
141,-222.264,170.421,2.43419
142,-223.104,171.109,2.43269
143,-223.936,171.842,2.43122
144,-224.874,172.762,2.43184
145,-225.769,173.71,2.43532
146,-226.971,174.451,2.43443
147,-227.931,175.37,2.43354
148,-229.025,176.541,2.43559
149,-230.296,177.434,2.43788
150,-231.324,178.644,2.43973
151,-232.803,179.647,2.43779
152,-234.357,180.972,2.44251
153,-235.752,182.184,2.44093
154,-236.549,182.868,2.43588
155,-237.99,184.274,2.43331
156,-239.728,185.462,2.43406
157,-241.073,186.772,2.43482
158,-242.477,188.002,2.43357
159,-243.801,189.189,2.42677
160,-245.498,190.682,2.43038
161,-246.962,192.044,2.43698
162,-248.769,193.566,2.43419
163,-250.172,194.91,2.44073
164,-251.704,196.49,2.44259
165,-253.487,197.915,2.4457
166,-255.227,199.274,2.44507
167,-256.851,200.627,2.44547
168,-258.725,202.188,2.44838
169,-260.398,203.666,2.44389
170,-262.076,205.2,2.44172
171,-263.868,206.861,2.44045
172,-265.575,208.419,2.43924
173,-267.209,209.873,2.43607
174,-268.99,211.453,2.43535
175,-270.568,212.905,2.43303
176,-272.038,214.314,2.43082
177,-273.451,215.476,2.43372
178,-274.714,216.655,2.42751
179,-276.235,217.96,2.42597
180,-277.639,219.156,2.42485
181,-278.654,220.197,2.42471
182,-279.922,221.314,2.43093
183,-281.248,222.445,2.43461
184,-282.414,223.491,2.43936
185,-283.348,224.378,2.43885
186,-284.325,225.264,2.43911
187,-285.377,226.126,2.44035
188,-286.185,226.935,2.43927
189,-287.156,227.701,2.43729
190,-287.95,228.366,2.43699
191,-288.9,229.197,2.43716
192,-289.796,230.007,2.44115
193,-290.752,230.796,2.4418
194,-291.62,231.52,2.43813
195,-292.494,232.639,2.43528
196,-293.333,233.213,2.44083
197,-294.223,233.997,2.4356
198,-295.202,234.881,2.43672
199,-296.02,235.361,2.43615
